prompt_id,case,type,prompt_language,target_language,model,filename
P01,A07,Z,PT,PY,G5,Z-A07-PT-PY-G5.py
P01,A07,Z,PT,PY,C4,Z-A07-PT-PY-C4.py
P01,A07,Z,PT,CS,G5,Z-A07-PT-CS-G5.cs
P01,A07,Z,PT,CS,C4,Z-A07-PT-CS-C4.cs
P02,A07,Z,EN,PY,G5,Z-A07-EN-PY-G5.py
P02,A07,Z,EN,PY,C4,Z-A07-EN-PY-C4.py
P02,A07,Z,EN,CS,G5,Z-A07-EN-CS-G5.cs
P02,A07,Z,EN,CS,C4,Z-A07-EN-CS-C4.cs
P03,A07,F,PT,PY,G5,F-A07-PT-PY-G5.py
P03,A07,F,PT,PY,C4,F-A07-PT-PY-C4.py
P03,A07,F,PT,CS,G5,F-A07-PT-CS-G5.cs
P03,A07,F,PT,CS,C4,F-A07-PT-CS-C4.cs
P04,A07,F,EN,PY,G5,F-A07-EN-PY-G5.py
P04,A07,F,EN,PY,C4,F-A07-EN-PY-C4.py
P04,A07,F,EN,CS,G5,F-A07-EN-CS-G5.cs
P04,A07,F,EN,CS,C4,F-A07-EN-CS-C4.cs
P05,A07,D,PT,PY,G5,D-A07-PT-PY-G5.py
P05,A07,D,PT,PY,C4,D-A07-PT-PY-C4.py
P05,A07,D,PT,CS,G5,D-A07-PT-CS-G5.cs
P05,A07,D,PT,CS,C4,D-A07-PT-CS-C4.cs
P06,A07,D,EN,PY,G5,D-A07-EN-PY-G5.py
P06,A07,D,EN,PY,C4,D-A07-EN-PY-C4.py
P06,A07,D,EN,CS,G5,D-A07-EN-CS-G5.cs
P06,A07,D,EN,CS,C4,D-A07-EN-CS-C4.cs
P07,A07,A,PT,PY,G5,A-A07-PT-PY-G5.py
P07,A07,A,PT,PY,C4,A-A07-PT-PY-C4.py
P07,A07,A,PT,CS,G5,A-A07-PT-CS-G5.cs
P07,A07,A,PT,CS,C4,A-A07-PT-CS-C4.cs
P08,A07,A,EN,PY,G5,A-A07-EN-PY-G5.py
P08,A07,A,EN,PY,C4,A-A07-EN-PY-C4.py
P08,A07,A,EN,CS,G5,A-A07-EN-CS-G5.cs
P08,A07,A,EN,CS,C4,A-A07-EN-CS-C4.cs
P09,A05,Z,PT,PY,G5,Z-A05-PT-PY-G5.py
P09,A05,Z,PT,PY,C4,Z-A05-PT-PY-C4.py
P09,A05,Z,PT,CS,G5,Z-A05-PT-CS-G5.cs
P09,A05,Z,PT,CS,C4,Z-A05-PT-CS-C4.cs
P10,A05,Z,EN,PY,G5,Z-A05-EN-PY-G5.py
P10,A05,Z,EN,PY,C4,Z-A05-EN-PY-C4.py
P10,A05,Z,EN,CS,G5,Z-A05-EN-CS-G5.cs
P10,A05,Z,EN,CS,C4,Z-A05-EN-CS-C4.cs
P11,A05,F,PT,PY,G5,F-A05-PT-PY-G5.py
P11,A05,F,PT,PY,C4,F-A05-PT-PY-C4.py
P11,A05,F,PT,CS,G5,F-A05-PT-CS-G5.cs
P11,A05,F,PT,CS,C4,F-A05-PT-CS-C4.cs
P12,A05,F,EN,PY,G5,F-A05-EN-PY-G5.py
P12,A05,F,EN,PY,C4,F-A05-EN-PY-C4.py
P12,A05,F,EN,CS,G5,F-A05-EN-CS-G5.cs
P12,A05,F,EN,CS,C4,F-A05-EN-CS-C4.cs
P13,A05,D,PT,PY,G5,D-A05-PT-PY-G5.py
P13,A05,D,PT,PY,C4,D-A05-PT-PY-C4.py
P13,A05,D,PT,CS,G5,D-A05-PT-CS-G5.cs
P13,A05,D,PT,CS,C4,D-A05-PT-CS-C4.cs
P14,A05,D,EN,PY,G5,D-A05-EN-PY-G5.py
P14,A05,D,EN,PY,C4,D-A05-EN-PY-C4.py
P14,A05,D,EN,CS,G5,D-A05-EN-CS-G5.cs
P14,A05,D,EN,CS,C4,D-A05-EN-CS-C4.cs
P15,A05,A,PT,PY,G5,A-A05-PT-PY-G5.py
P15,A05,A,PT,PY,C4,A-A05-PT-PY-C4.py
P15,A05,A,PT,CS,G5,A-A05-PT-CS-G5.cs
P15,A05,A,PT,CS,C4,A-A05-PT-CS-C4.cs
P16,A05,A,EN,PY,G5,A-A05-EN-PY-G5.py
P16,A05,A,EN,PY,C4,A-A05-EN-PY-C4.py
P16,A05,A,EN,CS,G5,A-A05-EN-CS-G5.cs
P16,A05,A,EN,CS,C4,A-A05-EN-CS-C4.cs
P17,A01,Z,PT,PY,G5,Z-A01-PT-PY-G5.py
P17,A01,Z,PT,PY,C4,Z-A01-PT-PY-C4.py
P17,A01,Z,PT,CS,G5,Z-A01-PT-CS-G5.cs
P17,A01,Z,PT,CS,C4,Z-A01-PT-CS-C4.cs
P18,A01,Z,EN,PY,G5,Z-A01-EN-PY-G5.py
P18,A01,Z,EN,PY,C4,Z-A01-EN-PY-C4.py
P18,A01,Z,EN,CS,G5,Z-A01-EN-CS-G5.cs
P18,A01,Z,EN,CS,C4,Z-A01-EN-CS-C4.cs
P19,A01,F,PT,PY,G5,F-A01-PT-PY-G5.py
P19,A01,F,PT,PY,C4,F-A01-PT-PY-C4.py
P19,A01,F,PT,CS,G5,F-A01-PT-CS-G5.cs
P19,A01,F,PT,CS,C4,F-A01-PT-CS-C4.cs
P20,A01,F,EN,PY,G5,F-A01-EN-PY-G5.py
P20,A01,F,EN,PY,C4,F-A01-EN-PY-C4.py
P20,A01,F,EN,CS,G5,F-A01-EN-CS-G5.cs
P20,A01,F,EN,CS,C4,F-A01-EN-CS-C4.cs
P21,A01,D,PT,PY,G5,D-A01-PT-PY-G5.py
P21,A01,D,PT,PY,C4,D-A01-PT-PY-C4.py
P21,A01,D,PT,CS,G5,D-A01-PT-CS-G5.cs
P21,A01,D,PT,CS,C4,D-A01-PT-CS-C4.cs
P22,A01,D,EN,PY,G5,D-A01-EN-PY-G5.py
P22,A01,D,EN,PY,C4,D-A01-EN-PY-C4.py
P22,A01,D,EN,CS,G5,D-A01-EN-CS-G5.cs
P22,A01,D,EN,CS,C4,D-A01-EN-CS-C4.cs
P23,A01,A,PT,PY,G5,A-A01-PT-PY-G5.py
P23,A01,A,PT,PY,C4,A-A01-PT-PY-C4.py
P23,A01,A,PT,CS,G5,A-A01-PT-CS-G5.cs
P23,A01,A,PT,CS,C4,A-A01-PT-CS-C4.cs
P24,A01,A,EN,PY,G5,A-A01-EN-PY-G5.py
P24,A01,A,EN,PY,C4,A-A01-EN-PY-C4.py
P24,A01,A,EN,CS,G5,A-A01-EN-CS-G5.cs
P24,A01,A,EN,CS,C4,A-A01-EN-CS-C4.cs
P25,A10,Z,PT,PY,G5,Z-A10-PT-PY-G5.py
P25,A10,Z,PT,PY,C4,Z-A10-PT-PY-C4.py
P25,A10,Z,PT,CS,G5,Z-A10-PT-CS-G5.cs
P25,A10,Z,PT,CS,C4,Z-A10-PT-CS-C4.cs
P26,A10,Z,EN,PY,G5,Z-A10-EN-PY-G5.py
P26,A10,Z,EN,PY,C4,Z-A10-EN-PY-C4.py
P26,A10,Z,EN,CS,G5,Z-A10-EN-CS-G5.cs
P26,A10,Z,EN,CS,C4,Z-A10-EN-CS-C4.cs
P27,A10,F,PT,PY,G5,F-A10-PT-PY-G5.py
P27,A10,F,PT,PY,C4,F-A10-PT-PY-C4.py
P27,A10,F,PT,CS,G5,F-A10-PT-CS-G5.cs
P27,A10,F,PT,CS,C4,F-A10-PT-CS-C4.cs
P28,A10,F,EN,PY,G5,F-A10-EN-PY-G5.py
P28,A10,F,EN,PY,C4,F-A10-EN-PY-C4.py
P28,A10,F,EN,CS,G5,F-A10-EN-CS-G5.cs
P28,A10,F,EN,CS,C4,F-A10-EN-CS-C4.cs
P29,A10,D,PT,PY,G5,D-A10-PT-PY-G5.py
P29,A10,D,PT,PY,C4,D-A10-PT-PY-C4.py
P29,A10,D,PT,CS,G5,D-A10-PT-CS-G5.cs
P29,A10,D,PT,CS,C4,D-A10-PT-CS-C4.cs
P30,A10,D,EN,PY,G5,D-A10-EN-PY-G5.py
P30,A10,D,EN,PY,C4,D-A10-EN-PY-C4.py
P30,A10,D,EN,CS,G5,D-A10-EN-CS-G5.cs
P30,A10,D,EN,CS,C4,D-A10-EN-CS-C4.cs
P31,A10,A,PT,PY,G5,A-A10-PT-PY-G5.py
P31,A10,A,PT,PY,C4,A-A10-PT-PY-C4.py
P31,A10,A,PT,CS,G5,A-A10-PT-CS-G5.cs
P31,A10,A,PT,CS,C4,A-A10-PT-CS-C4.cs
P32,A10,A,EN,PY,G5,A-A10-EN-PY-G5.py
P32,A10,A,EN,PY,C4,A-A10-EN-PY-C4.py
P32,A10,A,EN,CS,G5,A-A10-EN-CS-G5.cs
P32,A10,A,EN,CS,C4,A-A10-EN-CS-C4.cs
P33,A04,Z,PT,PY,G5,Z-A04-PT-PY-G5.py
P33,A04,Z,PT,PY,C4,Z-A04-PT-PY-C4.py
P33,A04,Z,PT,CS,G5,Z-A04-PT-CS-G5.cs
P33,A04,Z,PT,CS,C4,Z-A04-PT-CS-C4.cs
P34,A04,Z,EN,PY,G5,Z-A04-EN-PY-G5.py
P34,A04,Z,EN,PY,C4,Z-A04-EN-PY-C4.py
P34,A04,Z,EN,CS,G5,Z-A04-EN-CS-G5.cs
P34,A04,Z,EN,CS,C4,Z-A04-EN-CS-C4.cs
P35,A04,F,PT,PY,G5,F-A04-PT-PY-G5.py
P35,A04,F,PT,PY,C4,F-A04-PT-PY-C4.py
P35,A04,F,PT,CS,G5,F-A04-PT-CS-G5.cs
P35,A04,F,PT,CS,C4,F-A04-PT-CS-C4.cs
P36,A04,F,EN,PY,G5,F-A04-EN-PY-G5.py
P36,A04,F,EN,PY,C4,F-A04-EN-PY-C4.py
P36,A04,F,EN,CS,G5,F-A04-EN-CS-G5.cs
P36,A04,F,EN,CS,C4,F-A04-EN-CS-C4.cs
P37,A04,D,PT,PY,G5,D-A04-PT-PY-G5.py
P37,A04,D,PT,PY,C4,D-A04-PT-PY-C4.py
P37,A04,D,PT,CS,G5,D-A04-PT-CS-G5.cs
P37,A04,D,PT,CS,C4,D-A04-PT-CS-C4.cs
P38,A04,D,EN,PY,G5,D-A04-EN-PY-G5.py
P38,A04,D,EN,PY,C4,D-A04-EN-PY-C4.py
P38,A04,D,EN,CS,G5,D-A04-EN-CS-G5.cs
P38,A04,D,EN,CS,C4,D-A04-EN-CS-C4.cs
P39,A04,A,PT,PY,G5,A-A04-PT-PY-G5.py
P39,A04,A,PT,PY,C4,A-A04-PT-PY-C4.py
P39,A04,A,PT,CS,G5,A-A04-PT-CS-G5.cs
P39,A04,A,PT,CS,C4,A-A04-PT-CS-C4.cs
P40,A04,A,EN,PY,G5,A-A04-EN-PY-G5.py
P40,A04,A,EN,PY,C4,A-A04-EN-PY-C4.py
P40,A04,A,EN,CS,G5,A-A04-EN-CS-G5.cs
P40,A04,A,EN,CS,C4,A-A04-EN-CS-C4.cs
